2,2,Mon May 15 13:35:52 CEST 2017,NSGAII,NullMutation,BLXAlphaCrossover
1,1,44,-5.4448193994919265,-0.14073867211940883,29.78679696520303,1.863148371865372
1,2,15,-1.6585644820808207,1.1503964127369333,1.6004397284830878,-1.321114171696523
1,3,35,-3.5808353154246517,-4.2049000212695535,17.02728157746192,4.99531767898188
1,4,35,-3.833544799067033,-2.720090524180293,17.416156250634188,3.6368629237138093
1,5,24,2.1970603272742792,-4.7538872840605535,9.580961365743118,2.655357120423414
1,6,10,-1.0640443602678094,3.0057386542663576,-1.8735482536486259,-3.473716474132453
1,7,18,-0.15628382267841534,-1.8005871801357767,1.825011813366755,0.8787290914749843
1,8,20,-2.0055626103307462,-1.8295144348913235,5.851795818848,1.8322957400566966
1,9,14,-1.69979057484752,1.4461333725860968,1.4431546257543655,-1.5962380851623368
1,10,25,-2.8969932684329525,-3.0972664064746325,11.489836403820474,3.5457630406911083
1,11,23,-0.8670400393638733,-5.622366301113208,6.374124730973315,5.055886320795144
1,12,18,-1.6069972161341681,-0.40269762449434676,2.985137677157313,0.20619623256143083
1,13,22,-0.02171360262194355,-5.7055809139061795,5.7060523944450035,4.716437715217151
1,14,21,-2.2990780712817225,-1.9476931898553103,7.233453167703796,2.0972322254961715
1,15,8,2.864768327839565,2.059653706890197,6.147243865302501,-4.4920378708099795
1,16,17,-1.7587252423142443,0.19401653147652276,2.8990979464767745,-0.3146539103194006
1,17,32,-3.9722425182779624,0.33832367597299395,15.440386948042255,0.6477975831659872
1,18,50,-4.962124155056757,-4.973427687189943,29.59610381738768,6.454489764718321
1,19,24,2.9661356755882338,-4.583963132571029,13.381923978568297,2.1008952947769117
1,20,40,-5.908314856022427,2.493419028151621,32.414765409743694,-0.5392616001404074
1,21,28,-2.7791020680006238,-6.311868052958482,14.035276357323825,6.7014190869587935
1,22,21,2.914689710711164,-0.16913469105537882,8.664550800780905,-2.288210164300203
1,23,15,-2.3216093568001233,2.35018923205236,3.039680773529522,-2.1893845536522982
1,24,26,2.804423488342678,-6.2685063543413015,14.133297456309418,3.8662946101699625
1,25,24,-3.881979722792942,1.6052211318627148,13.46454543631285,-0.6642312704662439
1,26,12,1.0726030099580726,1.2161904132036963,-0.06571319623257921,-2.7524919181827325
